DEBUG 2024-05-24 20:23:01,549 autoreload File C:\venvs\mysite\Lib\site-packages\django\forms\widgets.py first seen with mtime 1715818501.5879922
DEBUG 2024-05-24 20:23:01,549 autoreload File C:\Python312\Lib\signal.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,549 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1715818498.7746835
DEBUG 2024-05-24 20:23:01,550 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1715818496.8201292
DEBUG 2024-05-24 20:23:01,550 autoreload File C:\Python312\Lib\asyncio\staggered.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,551 autoreload File C:\venvs\mysite\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1715818501.5747344
DEBUG 2024-05-24 20:23:01,551 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\auth\migrations\0003_alter_user_email_max_length.py first seen with mtime 1715818499.257597
DEBUG 2024-05-24 20:23:01,551 autoreload File C:\venvs\mysite\Lib\site-packages\django\utils\html.py first seen with mtime 1715818501.7113352
DEBUG 2024-05-24 20:23:01,552 autoreload File C:\venvs\mysite\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1715818501.4067247
DEBUG 2024-05-24 20:23:01,552 autoreload File C:\Python312\Lib\unittest\suite.py first seen with mtime 1701955216.0
DEBUG 2024-05-24 20:23:01,553 autoreload File C:\venvs\mysite\Lib\site-packages\psycopg2\_psycopg.cp312-win_amd64.pyd first seen with mtime 1715952826.4153745
DEBUG 2024-05-24 20:23:01,553 autoreload File C:\venvs\mysite\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1715818501.4077237
DEBUG 2024-05-24 20:23:01,554 autoreload File C:\venvs\mysite\Lib\site-packages\jwt\api_jws.py first seen with mtime 1715746509.0580256
DEBUG 2024-05-24 20:23:01,555 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1715818501.387023
DEBUG 2024-05-24 20:23:01,555 autoreload File C:\venvs\mysite\Lib\site-packages\rest_framework\utils\humanize_datetime.py first seen with mtime 1715746509.4555085
DEBUG 2024-05-24 20:23:01,556 autoreload File C:\venvs\mysite\Lib\site-packages\django\core\files\utils.py first seen with mtime 1715818501.428724
DEBUG 2024-05-24 20:23:01,556 autoreload File C:\Python312\Lib\gettext.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,556 autoreload File C:\venvs\mysite\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1715818501.4207232
DEBUG 2024-05-24 20:23:01,558 autoreload File C:\Python312\Lib\getpass.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,559 autoreload File C:\venvs\mysite\Lib\site-packages\rest_framework\authentication.py first seen with mtime 1715746509.2707808
DEBUG 2024-05-24 20:23:01,559 autoreload File C:\Python312\Lib\wsgiref\util.py first seen with mtime 1701955216.0
DEBUG 2024-05-24 20:23:01,560 autoreload File C:\venvs\mysite\Lib\site-packages\rest_framework\serializers.py first seen with mtime 1715746509.286917
DEBUG 2024-05-24 20:23:01,560 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1715818498.768686
DEBUG 2024-05-24 20:23:01,561 autoreload File C:\Python312\Lib\email\utils.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,561 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1715818499.2801197
DEBUG 2024-05-24 20:23:01,562 autoreload File C:\venvs\mysite\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1715818501.5707355
DEBUG 2024-05-24 20:23:01,562 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1715818496.8221219
DEBUG 2024-05-24 20:23:01,563 autoreload File C:\venvs\mysite\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1715818501.542727
DEBUG 2024-05-24 20:23:01,563 autoreload File C:\Python312\Lib\warnings.py first seen with mtime 1701955216.0
DEBUG 2024-05-24 20:23:01,563 autoreload File C:\Python312\Lib\asyncio\coroutines.py first seen with mtime 1701955214.0
